,backers,category,location,pledge_goal,pledged_amount,title,url
0,"14,952",Comics,"Philadelphia,PA","$57,750 ","$1,254,120 ",The Order of the Stick Reprint Drive,https://www.kickstarter.com/projects/599092525/the-order-of-the-stick-reprint-drive?ref=discovery_category_most_funded
1,"5,553",Anthologies,"NewHaven,CT","$150,000 ","$665,725 ",Ctrl+Alt+Del 1.0: The Box Set,https://www.kickstarter.com/projects/1983987666/ctrl-alt-del-10-the-box-set?ref=discovery_category_most_funded
2,"7,199",Comics,"Bristol,UK","£1,000","£477,001",How to THINK when you DRAW BOOK 2! PLUS BOOK 1 and ARTBOOKS!,https://www.kickstarter.com/projects/1378058646/how-to-think-when-you-draw-book-2-plus-book-1-and?ref=discovery_category_most_funded
3,"7,565",Comics,"Easthampton,MA","$30,000 ","$534,994 ",The Tomorrow Girl: Dresden Codak Volume 1,https://www.kickstarter.com/projects/156287353/the-tomorrow-girl-dresden-codak-volume-1?ref=discovery_category_most_funded
4,"9,069",Comics,"Seattle,WA","$250,000 ","$528,144 ",Penny Arcade Sells Out,https://www.kickstarter.com/projects/pennyarcade/penny-arcade-sells-out?ref=discovery_category_most_funded
5,"5,088",Webcomics,"Austin,TX","$32,500 ","$398,520 ","✔ Check, Please!: Year Two",https://www.kickstarter.com/projects/276501805/check-please-year-two?ref=discovery_category_most_funded
6,"4,441",Comics,"Seattle,WA","$55,000 ","$389,079 ",Girl Genius Volume 12 Printing and Reprint Frenzy!,https://www.kickstarter.com/projects/girlgenius/girl-genius-volume-12-printing-and-reprint-frenzy?ref=discovery_category_most_funded
7,"6,435",GraphicNovels,"Bristol,RI","$18,000 ","$385,710 ",Steve Lichman - Volume 2,https://www.kickstarter.com/projects/stevelichman/steve-lichman-volume-2?ref=discovery_category_most_funded
8,"7,119",Webcomics,"Houston,TX","$15,000 ","$377,471 ",Religion: Ruining Everything Since 4004 BC,https://www.kickstarter.com/projects/weiner/religion-ruining-everything-since-4004-bc?ref=discovery_category_most_funded
9,"5,205",Comics,"Austin,TX","$22,400 ","$353,764 ","✔ Check, Please!: Year Three",https://www.kickstarter.com/projects/276501805/check-please-year-three?ref=discovery_category_most_funded
10,"3,729",Webcomics,"NewYork,NY","$75,000 ","$351,076 ",Ava's Demon: Book Two,https://www.kickstarter.com/projects/1908899476/avas-demon-book-two?ref=discovery_category_most_funded
11,"8,016",Comics,"Brooklyn,NY","$20,000 ","$341,667 ",SCIENCE: Ruining Everything Since 1543 (an SMBC Collection),https://www.kickstarter.com/projects/weiner/science-ruining-everything-since-1543-an-smbc-coll?ref=discovery_category_most_funded
